ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,https://leetcode.comhttps://leetcode.com/problems/two-sum,N,49.10%,Easy,51.3461%;
9,Palindrome Number,https://leetcode.com/problems/palindrome-number,N,52.90%,Easy,7.96144%;
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer,N,58.20%,Easy,34.3407%;
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,N,40.80%,Easy,21.9424%;
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,N,40.60%,Easy,33.3355%;
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,N,61.90%,Easy,15.4432%;
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,N,50.90%,Easy,3.1666%;
27,Remove Element,https://leetcode.com/problems/remove-element,N,52.20%,Easy,0.91574%;
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,N,42.00%,Easy,1.86362%;
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word,N,40.80%,Easy,1.146%;
66,Plus One,https://leetcode.com/problems/plus-one,N,43.40%,Easy,1.48831%;
67,Add Binary,https://leetcode.com/problems/add-binary,N,51.40%,Easy,2.95509%;
69,Sqrt(x),https://leetcode.com/problems/sqrtx,N,37.10%,Easy,1.7813%;
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,N,51.80%,Easy,14.596%;
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,N,49.90%,Easy,1.63519%;
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,N,45.80%,Easy,7.7498%;
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,N,73.10%,Easy,6.36691%;
100,Same Tree,https://leetcode.com/problems/same-tree,N,56.40%,Easy,5.60157%;
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,N,53.00%,Easy,8.25677%;
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,N,73.20%,Easy,3.41217%;
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,N,69.10%,Easy,5.35869%;
111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,N,43.60%,Easy,2.68755%;
112,Path Sum,https://leetcode.com/problems/path-sum,N,47.70%,Easy,7.29483%;
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,N,69.30%,Easy,17.5763%;
119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,N,59.80%,Easy,3.35164%;
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,N,54.40%,Easy,38.0873%;
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,N,43.70%,Easy,0.355141%;
136,Single Number,https://leetcode.com/problems/single-number,N,70.10%,Easy,10.5866%;
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,N,46.90%,Easy,5.56001%;
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,N,53.40%,Easy,0.858184%;
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title,N,34.80%,Easy,2.5692%;
169,Majority Element,https://leetcode.com/problems/majority-element,N,63.90%,Easy,9.48009%;
175,Combine Two Tables,https://leetcode.com/problems/combine-two-tables,N,73.10%,Easy,3.25329%;
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers,N,68.60%,Easy,1.57702%;
183,Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order,N,68.10%,Easy,0.688879%;
190,Reverse Bits,https://leetcode.com/problems/reverse-bits,N,52.40%,Easy,7.88937%;
191,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits,N,65.00%,Easy,8.67044%;
193,Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers,N,26.00%,Easy,9.23742%;
196,Delete Duplicate Emails,https://leetcode.com/problems/delete-duplicate-emails,N,59.00%,Easy,4.29197%;
197,Rising Temperature,https://leetcode.com/problems/rising-temperature,N,44.60%,Easy,3.93585%;
202,Happy Number,https://leetcode.com/problems/happy-number,N,54.40%,Easy,6.49479%;
203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,N,44.90%,Easy,0.857125%;
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,N,42.60%,Easy,4.7513%;
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,N,72.50%,Easy,7.12827%;
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,N,61.30%,Easy,15.6385%;
219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii,N,42.30%,Easy,11.8172%;
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,N,73.30%,Easy,8.37921%;
231,Power of Two,https://leetcode.com/problems/power-of-two,N,45.70%,Easy,2.07361%;
232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks,N,61.30%,Easy,8.74861%;
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,N,49.60%,Easy,14.3147%;
242,Valid Anagram,https://leetcode.com/problems/valid-anagram,N,62.80%,Easy,22.6983%;
243,Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance,Y,64.90%,Easy,25.7592%;
252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms,Y,57.10%,Easy,2.93943%;
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,N,60.70%,Easy,4.8577%;
258,Add Digits,https://leetcode.com/problems/add-digits,N,63.50%,Easy,3.82938%;
268,Missing Number,https://leetcode.com/problems/missing-number,N,61.70%,Easy,12.2701%;
278,First Bad Version,https://leetcode.com/problems/first-bad-version,N,43.00%,Easy,5.96322%;
283,Move Zeroes,https://leetcode.com/problems/move-zeroes,N,61.40%,Easy,3.58278%;
342,Power of Four,https://leetcode.com/problems/power-of-four,N,45.70%,Easy,1.98784%;
344,Reverse String,https://leetcode.com/problems/reverse-string,N,76.20%,Easy,2.67007%;
346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream,Y,77.10%,Easy,12.5469%;
349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,N,70.30%,Easy,6.80981%;
350,Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii,N,55.60%,Easy,2.94567%;
367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square,N,43.30%,Easy,11.6922%;
383,Ransom Note,https://leetcode.com/problems/ransom-note,N,57.60%,Easy,19.8147%;
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,N,59.00%,Easy,20.4803%;
392,Is Subsequence,https://leetcode.com/problems/is-subsequence,N,49.00%,Easy,4.13721%;
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome,N,54.60%,Easy,5.31245%;
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz,N,68.90%,Easy,4.82002%;
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number,N,32.60%,Easy,6.44907%;
415,Add Strings,https://leetcode.com/problems/add-strings,N,52.60%,Easy,4.02748%;
441,Arranging Coins,https://leetcode.com/problems/arranging-coins,N,46.10%,Easy,5.3795%;
448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,N,59.70%,Easy,1.40478%;
455,Assign Cookies,https://leetcode.com/problems/assign-cookies,N,50.50%,Easy,3.21182%;
463,Island Perimeter,https://leetcode.com/problems/island-perimeter,N,69.50%,Easy,2.80847%;
