ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,N,35.30%,Hard,34.9848%;
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,N,28.20%,Hard,10.2189%;
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,N,48.50%,Hard,60.4348%;
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,N,53.70%,Hard,33.8612%;
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,N,30.90%,Hard,3.01616%;
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,N,32.70%,Hard,28.9085%;
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,N,56.80%,Hard,11.2049%;
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,N,36.60%,Hard,25.4772%;
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,N,58.80%,Hard,60.6992%;
51,N-Queens,https://leetcode.com/problems/n-queens,N,63.10%,Hard,19.3825%;
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence,N,43.80%,Hard,12.4362%;
65,Valid Number,https://leetcode.com/problems/valid-number,N,18.60%,Hard,5.22551%;
72,Edit Distance,https://leetcode.com/problems/edit-distance,N,52.70%,Hard,17.5074%;
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,N,40.70%,Hard,33.5563%;
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,N,42.20%,Hard,34.8942%;
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,N,44.20%,Hard,18.9959%;
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,N,44.90%,Hard,21.9623%;
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,N,38.50%,Hard,10.6127%;
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii,N,27.60%,Hard,45.6066%;
127,Word Ladder,https://leetcode.com/problems/word-ladder,N,36.70%,Hard,67.7724%;
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,N,33.60%,Hard,4.75731%;
135,Candy,https://leetcode.com/problems/candy,N,40.80%,Hard,47.8847%;
140,Word Break II,https://leetcode.com/problems/word-break-ii,N,44.60%,Hard,59.804%;
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,N,21.80%,Hard,20.8625%;
185,Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries,N,50.10%,Hard,16.4829%;
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,N,38.00%,Hard,23.6439%;
212,Word Search II,https://leetcode.com/problems/word-search-ii,N,36.90%,Hard,42.8948%;
218,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,N,41.60%,Hard,6.16011%;
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii,N,22.00%,Hard,5.74849%;
224,Basic Calculator,https://leetcode.com/problems/basic-calculator,N,41.20%,Hard,32.2893%;
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,N,46.60%,Hard,55.9204%;
262,Trips and Users,https://leetcode.com/problems/trips-and-users,N,38.40%,Hard,5.94712%;
265,Paint House II,https://leetcode.com/problems/paint-house-ii,Y,52.40%,Hard,10.2126%;
269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary,Y,35.30%,Hard,20.2765%;
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words,N,29.90%,Hard,73.0024%;
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,N,51.50%,Hard,51.8142%;
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,N,55.00%,Hard,44.9716%;
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses,N,47.10%,Hard,8.33243%;
305,Number of Islands II,https://leetcode.com/problems/number-of-islands-ii,Y,39.40%,Hard,14.7215%;
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,N,42.80%,Hard,7.87321%;
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,N,52.20%,Hard,21.0655%;
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,N,41.00%,Hard,5.10941%;
336,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs,N,35.20%,Hard,11.2349%;
354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,N,38.30%,Hard,14.9743%;
363,Max Sum of Rectangle No Larger Than K,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,N,44.10%,Hard,25.9837%;
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,N,35.70%,Hard,11.8533%;
403,Frog Jump,https://leetcode.com/problems/frog-jump,N,43.10%,Hard,15.4166%;
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,N,47.50%,Hard,19.8963%;
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,N,53.30%,Hard,18.7251%;
420,Strong Password Checker,https://leetcode.com/problems/strong-password-checker,N,14.30%,Hard,31.9628%;
432,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure,N,36.70%,Hard,22.5746%;
458,Poor Pigs,https://leetcode.com/problems/poor-pigs,N,64.40%,Hard,11.2349%;
460,LFU Cache,https://leetcode.com/problems/lfu-cache,N,40.40%,Hard,40.1815%;
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing,Y,49.30%,Hard,16.6017%;
472,Concatenated Words,https://leetcode.com/problems/concatenated-words,N,45.80%,Hard,93.1081%;
480,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,N,41.40%,Hard,22.7875%;
493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,N,30.90%,Hard,25.6173%;
502,IPO,https://leetcode.com/problems/ipo,N,44.90%,Hard,14.7215%;
527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation,Y,60.30%,Hard,46.2616%;
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system,Y,48.80%,Hard,65.327%;
618,Students Report By Geography,https://leetcode.com/problems/students-report-by-geography,Y,64.30%,Hard,26.6516%;
632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,N,60.60%,Hard,43.5016%;
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,Y,48.70%,Hard,22.1174%;
715,Range Module,https://leetcode.com/problems/range-module,N,44.70%,Hard,20.7845%;
716,Max Stack,https://leetcode.com/problems/max-stack,Y,45.30%,Hard,18.8344%;
719,Find K-th Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance,N,36.40%,Hard,76.9036%;
428,Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Y,65.50%,Hard,18.3486%;
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii,Y,48.60%,Hard,35.9618%;
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,N,63.90%,Hard,17.8893%;
778,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,N,59.70%,Hard,6.903%;
815,Bus Routes,https://leetcode.com/problems/bus-routes,N,45.70%,Hard,20.383%;
818,Race Car,https://leetcode.com/problems/race-car,N,43.50%,Hard,53.9446%;
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island,N,44.70%,Hard,37.7417%;
828,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string,N,51.70%,Hard,87.2043%;
489,Robot Room Cleaner,https://leetcode.com/problems/robot-room-cleaner,Y,76.50%,Hard,38.88%;
847,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes,N,61.30%,Hard,24.9931%;
857,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,N,52.00%,Hard,15.4166%;
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,N,26.10%,Hard,8.23186%;
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,N,39.90%,Hard,38.2393%;
895,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,N,66.80%,Hard,33.3224%;
903,Valid Permutations for DI Sequence,https://leetcode.com/problems/valid-permutations-for-di-sequence,N,57.70%,Hard,41.6627%;
968,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,N,46.80%,Hard,28.0752%;
