ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Solution Link
1,Two Sum,https://leetcode.comhttps://leetcode.com/problems/two-sum,N,49.10%,Easy,51.3461%;,
2,Add Two Numbers,https://leetcode.comhttps://leetcode.com/problems/add-two-numbers,N,39.80%,Medium,29.1345%;,
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,N,33.80%,Medium,35.6042%;,
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,N,35.30%,Hard,34.9848%;,
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,N,32.40%,Medium,35.2257%;,
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,N,43.20%,Medium,9.86584%;,
7,Reverse Integer,https://leetcode.com/problems/reverse-integer,N,27.20%,Medium,13.4903%;,
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,N,16.60%,Medium,12.1446%;,
9,Palindrome Number,https://leetcode.com/problems/palindrome-number,N,52.90%,Easy,7.96144%;,
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,N,28.20%,Hard,10.2189%;,
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water,N,54.30%,Medium,22.1736%;,
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman,N,61.50%,Medium,49.3056%;,
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer,N,58.20%,Easy,34.3407%;,
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,N,40.80%,Easy,21.9424%;,
15,3Sum,https://leetcode.com/problems/3sum,N,32.30%,Medium,23.5381%;,
16,3Sum Closest,https://leetcode.com/problems/3sum-closest,N,46.10%,Medium,16.3659%;,
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,N,55.70%,Medium,49.0148%;,
18,4Sum,https://leetcode.com/problems/4sum,N,36.40%,Medium,23.8879%;,
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,N,40.00%,Medium,7.89302%;,
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,N,40.60%,Easy,33.3355%;,
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,N,61.90%,Easy,15.4432%;,
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,N,71.90%,Medium,32.6884%;,
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,N,48.50%,Hard,60.4348%;,
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,N,60.50%,Medium,4.58918%;,
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,N,53.70%,Hard,33.8612%;,
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,N,50.90%,Easy,3.1666%;,
27,Remove Element,https://leetcode.com/problems/remove-element,N,52.20%,Easy,0.91574%;,
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.60%,Medium,5.46961%;,
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,N,17.30%,Medium,3.07981%;,
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,N,30.90%,Hard,3.01616%;,
31,Next Permutation,https://leetcode.com/problems/next-permutation,N,37.20%,Medium,27.6129%;,
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,N,32.70%,Hard,28.9085%;,
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,N,38.70%,Medium,23.6618%;,
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.60%,Medium,23.5802%;,
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,N,42.00%,Easy,1.86362%;,
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,N,56.90%,Medium,32.0787%;,
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,N,56.80%,Hard,11.2049%;,
38,Count and Say,https://leetcode.com/problems/count-and-say,N,51.30%,Medium,16.6455%;,
39,Combination Sum,https://leetcode.com/problems/combination-sum,N,67.80%,Medium,11.805%;,
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,N,53.30%,Medium,4.62977%;,
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,N,36.60%,Hard,25.4772%;,
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,N,58.80%,Hard,60.6992%;,
43,Multiply Strings,https://leetcode.com/problems/multiply-strings,N,38.80%,Medium,1.18442%;,
45,Jump Game II,https://leetcode.com/problems/jump-game-ii,N,38.60%,Medium,20.6912%;,
46,Permutations,https://leetcode.com/problems/permutations,N,74.90%,Medium,22.0367%;,
47,Permutations II,https://leetcode.com/problems/permutations-ii,N,56.80%,Medium,1.8021%;,
48,Rotate Image,https://leetcode.com/problems/rotate-image,N,70.10%,Medium,21.5744%;,
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,N,66.50%,Medium,53.9385%;,
50,"Pow(x, n)",https://leetcode.com/problems/powx-n,N,32.80%,Medium,9.84183%;,
51,N-Queens,https://leetcode.com/problems/n-queens,N,63.10%,Hard,19.3825%;,
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,N,50.10%,Medium,38.7427%;,
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,N,43.80%,Medium,14.6616%;,
55,Jump Game,https://leetcode.com/problems/jump-game,N,38.50%,Medium,31.4782%;,
56,Merge Intervals,https://leetcode.com/problems/merge-intervals,N,46.00%,Medium,41.4706%;,
57,Insert Interval,https://leetcode.com/problems/insert-interval,N,38.00%,Medium,2.36219%;,
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word,N,40.80%,Easy,1.146%;,
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii,N,66.70%,Medium,18.7633%;,
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence,N,43.80%,Hard,12.4362%;,
61,Rotate List,https://leetcode.com/problems/rotate-list,N,35.80%,Medium,6.77752%;,
62,Unique Paths,https://leetcode.com/problems/unique-paths,N,62.30%,Medium,24.1998%;,
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,N,39.10%,Medium,28.0022%;,
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,N,60.70%,Medium,13.3017%;,
65,Valid Number,https://leetcode.com/problems/valid-number,N,18.60%,Hard,5.22551%;,
66,Plus One,https://leetcode.com/problems/plus-one,N,43.40%,Easy,1.48831%;,
67,Add Binary,https://leetcode.com/problems/add-binary,N,51.40%,Easy,2.95509%;,
69,Sqrt(x),https://leetcode.com/problems/sqrtx,N,37.10%,Easy,1.7813%;,
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,N,51.80%,Easy,14.596%;,
71,Simplify Path,https://leetcode.com/problems/simplify-path,N,39.20%,Medium,13.2314%;,
72,Edit Distance,https://leetcode.com/problems/edit-distance,N,52.70%,Hard,17.5074%;,
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,N,50.10%,Medium,16.9228%;,
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,N,47.00%,Medium,25.0299%;,
75,Sort Colors,https://leetcode.com/problems/sort-colors,N,57.40%,Medium,15.6985%;,
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,N,40.70%,Hard,33.5563%;,
78,Subsets,https://leetcode.com/problems/subsets,N,74.00%,Medium,15.2496%;,
79,Word Search,https://leetcode.com/problems/word-search,N,39.80%,Medium,44.6295%;,
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,N,35.80%,Medium,7.44691%;,
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,N,45.50%,Medium,4.08027%;,
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,N,49.90%,Easy,1.63519%;,
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,N,42.20%,Hard,34.8942%;,
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,N,44.20%,Hard,18.9959%;,
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,N,45.80%,Easy,7.7498%;,
90,Subsets II,https://leetcode.com/problems/subsets-ii,N,55.40%,Medium,9.89693%;,
91,Decode Ways,https://leetcode.com/problems/decode-ways,N,32.30%,Medium,24.4712%;,
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,N,45.40%,Medium,24.1387%;,
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses,N,43.50%,Medium,18.7251%;,
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,N,73.10%,Easy,6.36691%;,
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,N,51.60%,Medium,3.92098%;,
97,Interleaving String,https://leetcode.com/problems/interleaving-string,N,37.10%,Medium,2.73105%;,
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,N,31.80%,Medium,22.7734%;,
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,N,50.40%,Medium,35.4319%;,
100,Same Tree,https://leetcode.com/problems/same-tree,N,56.40%,Easy,5.60157%;,
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,N,53.00%,Easy,8.25677%;,
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,N,63.40%,Medium,14.2926%;,
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,N,55.20%,Medium,45.6783%;,
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,N,73.20%,Easy,3.41217%;,
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,N,60.80%,Medium,18.6148%;,
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,N,57.50%,Medium,3.28802%;,
107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,N,60.40%,Medium,9.3649%;,
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,N,69.10%,Easy,5.35869%;,
111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,N,43.60%,Easy,2.68755%;,
112,Path Sum,https://leetcode.com/problems/path-sum,N,47.70%,Easy,7.29483%;,
113,Path Sum II,https://leetcode.com/problems/path-sum-ii,N,56.70%,Medium,13.4513%;,
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,N,61.20%,Medium,28.6009%;,
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,N,59.50%,Medium,10.5132%;,
117,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,N,49.80%,Medium,10.136%;,
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,N,69.30%,Easy,17.5763%;,
119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,N,59.80%,Easy,3.35164%;,
120,Triangle,https://leetcode.com/problems/triangle,N,54.00%,Medium,15.9416%;,
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,N,54.40%,Easy,38.0873%;,
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,N,63.40%,Medium,14.9094%;,
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,N,44.90%,Hard,21.9623%;,
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,N,38.50%,Hard,10.6127%;,
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,N,43.70%,Easy,0.355141%;,
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii,N,27.60%,Hard,45.6066%;,
127,Word Ladder,https://leetcode.com/problems/word-ladder,N,36.70%,Hard,67.7724%;,
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,N,48.90%,Medium,23.8238%;,
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,N,58.80%,Medium,3.09701%;,
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions,N,36.10%,Medium,9.20236%;,
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,N,62.50%,Medium,12.3657%;,
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,N,33.60%,Hard,4.75731%;,
133,Clone Graph,https://leetcode.com/problems/clone-graph,N,50.80%,Medium,7.2969%;,
134,Gas Station,https://leetcode.com/problems/gas-station,N,45.10%,Medium,24.4174%;,
135,Candy,https://leetcode.com/problems/candy,N,40.80%,Hard,47.8847%;,
136,Single Number,https://leetcode.com/problems/single-number,N,70.10%,Easy,10.5866%;,
137,Single Number II,https://leetcode.com/problems/single-number-ii,N,57.90%,Medium,5.71668%;,
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,N,50.60%,Medium,55.2474%;,
139,Word Break,https://leetcode.com/problems/word-break,N,45.50%,Medium,37.1035%;,
140,Word Break II,https://leetcode.com/problems/word-break-ii,N,44.60%,Hard,59.804%;,
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,N,46.90%,Easy,5.56001%;,
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,N,46.50%,Medium,6.77774%;,
143,Reorder List,https://leetcode.com/problems/reorder-list,N,51.20%,Medium,9.42272%;,
146,LRU Cache,https://leetcode.com/problems/lru-cache,N,40.50%,Medium,83.3923%;,
148,Sort List,https://leetcode.com/problems/sort-list,N,54.30%,Medium,5.46359%;,
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,N,21.80%,Hard,20.8625%;,
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,N,44.10%,Medium,29.22%;,
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,N,31.80%,Medium,2.17467%;,
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,N,34.90%,Medium,23.4116%;,
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,N,48.50%,Medium,9.30869%;,
155,Min Stack,https://leetcode.com/problems/min-stack,N,51.90%,Medium,23.9141%;,
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,Y,53.50%,Medium,15.4166%;,
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,N,53.40%,Easy,0.858184%;,
162,Find Peak Element,https://leetcode.com/problems/find-peak-element,N,46.20%,Medium,5.38548%;,
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers,N,35.40%,Medium,29.347%;,
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,N,60.00%,Medium,16.114%;,
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title,N,34.80%,Easy,2.5692%;,
169,Majority Element,https://leetcode.com/problems/majority-element,N,63.90%,Easy,9.48009%;,
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,N,69.20%,Medium,11.9399%;,
175,Combine Two Tables,https://leetcode.com/problems/combine-two-tables,N,73.10%,Easy,3.25329%;,
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary,N,36.60%,Medium,6.06025%;,
177,Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary,N,37.50%,Medium,12.9019%;,
178,Rank Scores,https://leetcode.com/problems/rank-scores,N,60.10%,Medium,2.7637%;,
179,Largest Number,https://leetcode.com/problems/largest-number,N,34.10%,Medium,11.5127%;,
180,Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers,N,46.80%,Medium,6.82667%;,
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers,N,68.60%,Easy,1.57702%;,
183,Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order,N,68.10%,Easy,0.688879%;,
184,Department Highest Salary,https://leetcode.com/problems/department-highest-salary,N,49.70%,Medium,2.44257%;,
185,Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries,N,50.10%,Hard,16.4829%;,
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,N,38.00%,Hard,23.6439%;,
189,Rotate Array,https://leetcode.com/problems/rotate-array,N,39.20%,Medium,8.55056%;,
190,Reverse Bits,https://leetcode.com/problems/reverse-bits,N,52.40%,Easy,7.88937%;,
191,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits,N,65.00%,Easy,8.67044%;,
